srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,4,1,4,RVP7
2,sch,Schdule,1,2,3,5,7,104
3,qtr,Quarter,,,2,8,9,Q1 to Q4
4,visit,Visit,,,2,10,11,"V2' for second visit,' V3' for third visit & 'V4' for fourth visit"
5,sec,Sector,1,3,1,12,12,
6,st,State/Ut Code,,,2,13,14,
7,dc,District Code,1,4,2,15,16,
8,nss_reg,NSS-Region,1,4,3,17,19,
9,strm,Stratum,1,5,2,20,21,
10,sstrm,Sub-Stratum,1,6,2,22,23,
11,ss,Sub-Sample,1,11,1,24,24,
12,sro,Fod Sub-Region,1,12,4,25,28,
13,mfsu,FSU,1,1,5,29,33,
14,seg,Sample Sg/Sb No.,1,13,1,34,34,
15,sss,Second Stage Stratum No.,1,14,1,35,35,
16,ssu,Sample Household Number,1,15,2,36,37,
17,srl,Person Serial No.,4,1,2,38,39,
19,rel,Relationship To Head,4,4,1,40,40,
20,sex,Gender,4,5,1,41,41,
21,age,Age,4,6,3,42,44,
22,marst,Marital Status,4,7,1,45,45,
23,gedu_lvl,General Educaion Level,4,8,2,46,47,
24,tedu_lvl,Technical Educaion Level,4,9,2,48,49,
25,form_edu,No. of years in Formal Education,4,10,2,50,51,
26,curr_att,Status of Current Attendance in Educational Institution,4,11,2,52,53,
27,das17,Status Code for activity 1,6,4/3.1,2,54,55,
28,ind17,Industry Code (NIC) for activity 1,6,5/3.1,2,56,57,
29,hr17,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,58,59,
30,ern17,wage earning for activity 1 on 7 th day,6,9/3.1,5,60,64,
31,das27,Status Code for activity 2,6,4/3.1,2,65,66,
32,ind27,Industry Code (NIC) for activity 2,6,5/3.1,2,67,68,
33,hr27,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,69,70,
34,ern27,wage earning for activity 2 on 7 th day,6,9/3.1,5,71,75,
35,hr7,total hours actually worked on 7th day,6,7/3.1,2,76,77,
36,ahr7,hours available for aditional worked on 7th day,6,8/3.1,2,78,79,
37,das16,Status Code for activity 1,6,4/3.2,2,80,81,
38,ind16,Industry Code (NIC) for activity 1,6,5/3.2,2,82,83,
39,hr16,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,84,85,
40,ern16,wage earning for activity 1 on 7 th day,6,9/3.2,5,86,90,
41,das26,Status Code for activity 2,6,4/3.2,2,91,92,
42,ind26,Industry Code (NIC) for activity 2,6,5/3.2,2,93,94,
43,hr26,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,95,96,
44,ern26,wage earning for activity 2 on 6 th day,6,9/3.2,5,97,101,
45,hr6,total hours actually worked on 6th day,6,7/3.2,2,102,103,
46,ahr6,hours available for aditional worked on 6th day,6,8/3.2,2,104,105,
47,das15,Status Code for activity 1,6,4/3.3,2,106,107,
48,ind15,Industry Code (NIC) for activity 1,6,5/3.3,2,108,109,
49,hr15,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,110,111,
50,ern15,wage earning for activity 1 on 5 th day,6,9/3.3,5,112,116,
51,das25,Status Code for activity 2,6,4/3.3,2,117,118,
52,ind25,Industry Code (NIC) for activity 2,6,5/3.3,2,119,120,
53,hr25,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,121,122,
54,ern25,wage earning for activity 2 on 5 th day,6,9/3.3,5,123,127,
55,hr5,total hours actually worked on 5th day,6,7/3.3,2,128,129,
56,ahr5,hours available for aditional worked on 5th day,6,8/3.3,2,130,131,
57,das14,Status Code for activity 1,6,4/3.4,2,132,133,
58,ind14,Industry Code (NIC) for activity 1,6,5/3.4,2,134,135,
59,hr14,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,136,137,
60,ern14,wage earning for activity 1 on 4th day,6,9/3.4,5,138,142,
61,das24,Status Code for activity 2,6,4/3.4,2,143,144,
62,ind24,Industry Code (NIC) for activity 2,6,5/3.4,2,145,146,
63,hr24,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,147,148,
64,ern24,wage earning for activity 2 on 4th day,6,9/3.4,5,149,153,
65,hr4,total hours actually worked on 4th day,6,7/3.4,2,154,155,
66,ahr4,hours available for aditional worked on 4th day,6,8/3.4,2,156,157,
67,das13,Status Code for activity 1,6,4/3.5,2,158,159,
68,ind13,Industry Code (NIC) for activity 1,6,5/3.5,2,160,161,
69,hr13,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,162,163,
70,ern13,wage earning for activity 1 on 3rd day,6,9/3.5,5,164,168,
71,das23,Status Code for activity 2,6,4/3.5,2,169,170,
72,ind23,Industry Code (NIC) for activity 2,6,5/3.5,2,171,172,
73,hr23,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,173,174,
74,ern23,wage earning for activity 2 on 3 rd day,6,9/3.5,5,175,179,
75,hr3,total hours actually worked on 3rd day,6,7/3.5,2,180,181,
76,ahr3,hours available for aditional worked on 3rd day,6,8/3.5,2,182,183,
77,das12,Status Code for activity 1,6,4/3.6,2,184,185,
78,ind12,Industry Code (NIC) for activity 1,6,5/3.6,2,186,187,
79,hr12,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,188,189,
80,ern12,wage earning for activity 1 on 2nd day,6,9/3.6,5,190,194,
81,das22,Status Code for activity 2,6,4/3.6,2,195,196,
82,ind22,Industry Code (NIC) for activity 2,6,5/3.6,2,197,198,
83,hr22,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,199,200,
84,ern22,wage earning for activity 2 on 2nd day,6,9/3.6,5,201,205,
85,hr2,total hours actually worked on 2nd day,6,7/3.6,2,206,207,
86,ahr2,hours available for aditional worked on 2nd day,6,8/3.6,2,208,209,
87,das11,Status Code for activity 1,6,4/3.7,2,210,211,
88,ind11,Industry Code (NIC) for activity 1,6,5/3.7,2,212,213,
89,hr11,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,214,215,
90,ern11,wage earning for activity 1 on 1st day,6,9/3.7,5,216,220,
91,das21,Status Code for activity 2,6,4/3.7,2,221,222,
92,ind21,Industry Code (NIC) for activity 2,6,5/3.7,2,223,224,
93,hr21,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,225,226,
94,ern21,wage earning for activity 2 on 1st day,6,9/3.7,5,227,231,
95,hr1,total hours actually worked on 1st day,6,7/3.7,2,232,233,
