srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,4,1,4,FVP7
2,sch,Schdule,1,2,3,5,7,104
3,qtr,Quarter,,,2,8,9,Q1 to Q4
4,visit,Visit,,,2,10,11,V1' for first visit
5,sec,Sector,1,3,1,12,12,
6,st,State/Ut Code,,,2,13,14,
7,dc,District Code,1,4,2,15,16,
8,nss_reg,NSS-Region,1,4,3,17,19,
9,strm,Stratum,1,5,2,20,21,
10,sstrm,Sub-Stratum,1,6,2,22,23,
11,ss,Sub-Sample,1,11,1,24,24,
12,sro,Fod Sub-Region,1,12,4,25,28,
13,mfsu,FSU,1,1,5,29,33,
14,seg,Sample Sg/Sb No.,1,13,1,34,34,
15,sss,Second Stage Stratum No.,1,14,1,35,35,
16,ssu,Sample Household Number,1,15,2,36,37,
17,srl,Person Serial No.,4,1,2,38,39,
18,rel,Relationship To Head,4,4,1,40,40,
19,sex,Gender,4,5,1,41,41,
20,age,Age,4,6,3,42,44,
21,marst,Marital Status,4,7,1,45,45,
22,gedu_lvl,General Educaion Level,4,8,2,46,47,
23,tedu_lvl,Technical Educaion Level,4,9,2,48,49,
24,form_edu,No. of years in Formal Education,4,10,2,50,51,
25,curr_att,Status of Current Attendance in Educational Institution,4,11,2,52,53,
26,voc,Whether received any Vocational/Technical Training,4,12,1,54,54,
27,voc_compl,Whether Training completed during last 365 Days,4.1,3,1,55,55,
28,voc_fld,Field Of Training,4.1,4,2,56,57,
29,voc_dur,Duration Of Training,4.1,5,1,58,58,
30,voc_typ,Type Of Training,4.1,6,1,59,59,
31,voc_fund,Source Of Funding The Training,4.1,7,1,60,60,
32,pas,Status Code,5.1,3,2,61,62,
33,ind_pas,Industry Code (NIC),5.1,5,5,63,67,
34,ocu_pas,Occupation Code (NCO),5.1,6,3,68,70,
35,has_sas,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,71,71,
36,loc_pas,(Principal)location Of Workplace Code,5.1,8,2,72,73,
37,etyp_pas,(Principal) Enterprise Type Code,5.1,9,2,74,75,
38,wrkr_pas,(Principal) No. Of Workers In The Enterprise,5.1,10,1,76,76,
39,job_pas,(Principal)  Type Of Job Contract,5.1,11,1,77,77,
40,leave_pas,(Principal) Eligble Of Paid Leave,5.1,12,1,78,78,
41,ssec_pas,(Principal) Social Security Benefits,5.1,13,1,79,79,
42,ecoprd_pas,(Principal) Usage of product of the economic activity,5.1,14,1,80,80,
43,sas,Status Code,5.2,3,2,81,82,
44,ind_sas,Industry Code (NIC),5.2,5,5,83,87,
45,ocu_sas,Occupation Code (NCO),5.2,6,3,88,90,
46,loc_sas,(Subsidiary) location Of Workplace Code,5.2,7,2,91,92,
47,etyp_sas,(Subsidiary)  Enterprise Type Code,5.2,8,2,93,94,
48,wrkr_sas,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,95,95,
49,job_sas,(Subsidiary)   Type Of Job Contract,5.2,10,1,96,96,
50,leave_sas,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,97,97,
51,ssec_sas,(Subsidiary)  Social Security Benefits,5.2,12,1,98,98,
52,ecoprd_sas,(Subsidiary) Usage of product of the economic activity,5.2,13,1,99,99,
53,wrk_365,Ever Worked Prior to last 365 days,5.3,5,1,100,100,
54,dur_pas,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,101,101,
55,dur_sas,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,102,102,
56,eff_pas,Efforts undertaken to search work,5.3,8,1,103,103,
57,dur_unp,Duration of spell of Unemployment,5.3,9,1,104,104,
58,evr_wrk,Whether Ever Worked ,5.3,10,1,105,105,
59,rea_nw, Reason for not working in last 365 days,5.3,11,2,106,107,
60,rea,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,108,108,
61,das17,Status Code for activity 1,6,4/3.1,2,109,110,
62,ind17,Industry Code (NIC) for activity 1,6,5/3.1,2,111,112,
63,hr17,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,113,114,
64,ern17,wage earning for activity 1 on 7 th day,6,9/3.1,5,115,119,
65,das27,Status Code for activity 2,6,4/3.1,2,120,121,
66,ind27,Industry Code (NIC) for activity 2,6,5/3.1,2,122,123,
67,hr27,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,124,125,
68,ern27,wage earning for activity 2 on 7 th day,6,9/3.1,5,126,130,
69,hr7,total hours actually worked on 7th day,6,7/3.1,2,131,132,
70,ahr7,hours available for aditional worked on 7th day,6,8/3.1,2,133,134,
71,das16,Status Code for activity 1,6,4/3.2,2,135,136,
72,ind16,Industry Code (NIC) for activity 1,6,5/3.2,2,137,138,
73,hr16,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,139,140,
74,ern16,wage earning for activity 1 on 7 th day,6,9/3.2,5,141,145,
75,das26,Status Code for activity 2,6,4/3.2,2,146,147,
76,ind26,Industry Code (NIC) for activity 2,6,5/3.2,2,148,149,
77,hr26,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,150,151,
78,ern26,wage earning for activity 2 on 6 th day,6,9/3.2,5,152,156,
79,hr6,total hours actually worked on 6th day,6,7/3.2,2,157,158,
80,ahr6,hours available for aditional worked on 6th day,6,8/3.2,2,159,160,
81,das15,Status Code for activity 1,6,4/3.3,2,161,162,
82,ind15,Industry Code (NIC) for activity 1,6,5/3.3,2,163,164,
83,hr15,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,165,166,
84,ern15,wage earning for activity 1 on 5 th day,6,9/3.3,5,167,171,
85,das25,Status Code for activity 2,6,4/3.3,2,172,173,
86,ind25,Industry Code (NIC) for activity 2,6,5/3.3,2,174,175,
87,hr25,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,176,177,
88,ern25,wage earning for activity 2 on 5 th day,6,9/3.3,5,178,182,
89,hr5,total hours actually worked on 5th day,6,7/3.3,2,183,184,
90,ahr5,hours available for aditional worked on 5th day,6,8/3.3,2,185,186,
91,das14,Status Code for activity 1,6,4/3.4,2,187,188,
92,ind14,Industry Code (NIC) for activity 1,6,5/3.4,2,189,190,
93,hr14,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,191,192,
94,ern14,wage earning for activity 1 on 4th day,6,9/3.4,5,193,197,
95,das24,Status Code for activity 2,6,4/3.4,2,198,199,
96,ind24,Industry Code (NIC) for activity 2,6,5/3.4,2,200,201,
97,hr24,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,202,203,
98,ern24,wage earning for activity 2 on 4th day,6,9/3.4,5,204,208,
99,hr4,total hours actually worked on 4th day,6,7/3.4,2,209,210,
100,ahr4,hours available for aditional worked on 4th day,6,8/3.4,2,211,212,
101,das13,Status Code for activity 1,6,4/3.5,2,213,214,
102,ind13,Industry Code (NIC) for activity 1,6,5/3.5,2,215,216,
103,hr13,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,217,218,
104,ern13,wage earning for activity 1 on 3rd day,6,9/3.5,5,219,223,
105,das23,Status Code for activity 2,6,4/3.5,2,224,225,
106,ind23,Industry Code (NIC) for activity 2,6,5/3.5,2,226,227,
107,hr23,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,228,229,
108,ern23,wage earning for activity 2 on 3 rd day,6,9/3.5,5,230,234,
109,hr3,total hours actually worked on 3rd day,6,7/3.5,2,235,236,
110,ahr3,hours available for aditional worked on 3rd day,6,8/3.5,2,237,238,
111,das12,Status Code for activity 1,6,4/3.6,2,239,240,
112,ind12,Industry Code (NIC) for activity 1,6,5/3.6,2,241,242,
113,hr12,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,243,244,
114,ern12,wage earning for activity 1 on 2nd day,6,9/3.6,5,245,249,
115,das22,Status Code for activity 2,6,4/3.6,2,250,251,
116,ind22,Industry Code (NIC) for activity 2,6,5/3.6,2,252,253,
117,hr22,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,254,255,
118,ern22,wage earning for activity 2 on 2nd day,6,9/3.6,5,256,260,
119,hr2,total hours actually worked on 2nd day,6,7/3.6,2,261,262,
120,ahr2,hours available for aditional worked on 2nd day,6,8/3.6,2,263,264,
121,das11,Status Code for activity 1,6,4/3.7,2,265,266,
122,ind11,Industry Code (NIC) for activity 1,6,5/3.7,2,267,268,
123,hr11,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,269,270,
124,ern11,wage earning for activity 1 on 1st day,6,9/3.7,5,271,275,
125,das21,Status Code for activity 2,6,4/3.7,2,276,277,
126,ind21,Industry Code (NIC) for activity 2,6,5/3.7,2,278,279,
127,hr21,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,280,281,
128,ern21,wage earning for activity 2 on 1st day,6,9/3.7,5,282,286,
129,hr1,total hours actually worked on 1st day,6,7/3.7,2,287,288,
130,ahr1,hours available for aditional worked on 1st day,6,8/3.7,2,289,290,
131,acws,Current Weekly Status (CWS),6,5,2,291,292,
132,aind_cws,Industry Code (CWS),6,6,2,293,294,
133,ocu_cws,Occupation Code (CWS),6,7,3,295,297,
134,ern_reg,Earnings For Regular Salaried/Wage Activity,6,9,8,298,305,
135,ern_self,Earnings For Self Employed,6,10,8,306,313,
136,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,314,316,NSS
137,nsc,Ns count for sector x stratum x substratum,Generated,,3,317,319,NSC
138,mult,Sub-sample wise Multiplier,Generated,,10,320,329,MULT
139,no_qtr,Count of contributing State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,330,330,No_Qtr
