srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,5,1,5,CFVH5
2,sch,Schdule,1,2,3,6,8,104
3,qtr,Quarter,,,2,9,10,Q1 to Q4
4,month,Month,,,2,11,12,01 to 12
5,visit,Visit,,,2,13,14,V1
6,sec,Sector,1,3,1,15,15,
7,st,State/Ut Code,,1,2,16,17,
8,dc,District Code,1,4,2,18,19,
9,nss_reg,NSS-Region,1,4,3,20,22,
10,bstrm,Basic stratum,,,4,23,26,
11,strm,Stratum,1,5,3,27,29,
12,grp,Group,,,1,30,30,
13,sstrm,Sub-Stratum,1,6,2,31,32,
14,sro,Fod Sub-Region,1,12,4,33,36,
15,mfsu,FSU,1,1,5,37,41,
16,sss,Second Stage Stratum No.,1,14,1,42,42,
17,ssu,Sample Household Number,1,15,2,43,44,
18,smonth,Month of Survey,1,9,2,45,46,
19,resp_code,Response Code,1,17,1,47,47,
20,svc,Survey Code,1,18,1,48,48,
21,rea_sub,Reason for Substitution of original household,1,19,1,49,49,
22,hh_size,Household Size,3,1,2,50,51,
23,hhtype,Household Type,3,2,1,52,52,
24,relg,Religion,3,3,1,53,53,
25,sg,Social Group,3,4,1,54,54,
26,hce1,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,10,55,64,
27,hce2,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,10,65,74,
28,hce3,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,10,75,84,
29,hce4,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,10,85,94,
30,hce5,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,10,95,104,
31,hce_tot,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,10,105,114,
32,lposs,land possessed as on the date of survey (code),3,6.1,2,115,116,
33,llease,land leased-out as on the date of survey (code),3,6.2,2,117,118,
34,rent,rent received from land and rental received from building usually in a month(Rs.),3,7.1,10,119,128,
35,interest,interest received from investment or savings usually in a month(Rs.),3,7.2,10,129,138,
36,pension,pension received usually in a month(Rs.),3,7.3,10,139,148,
37,remit,remittances usually received in a month(Rs.),3,7.4,10,149,158,
38,inc_tot,Household's total income(Rs.),3,7.5,10,159,168,
39,inf_srl,Informant Serial no.,1,16,2,169,170,
40,sur_date,Survey Date,2,2(i),10,171,180,
41,sur_time,Total Time Taken To Canvass Sch. 10.4,2,4,4,181,184,
42,nsc,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,185,187,
43,mult,Multiplier,,,10,188,197,
44,totalsd,Total Sub-Division,,,3,198,200,
45,zst,Stratum size,,,10,201,210,
46,caph,Number of listed households,,,4,211,214,
47,smallh,Number of selected households,,,2,215,216,
48,panel,Panel code,,,2,217,218,05' generated
