release_id,file_key,srl,field_name,name,block,item,length,byte_start,byte_end,remarks
calendar_2021,chhv1,1,panel,Panel,,,2,1,2,"P2,P3"
calendar_2021,chhv1,2,file_id,File Identification,,,5,3,7,CFVH1
calendar_2021,chhv1,3,sch,Schdule,1,2,3,8,10,104
calendar_2021,chhv1,4,qtr,Quarter,,,2,11,12,"Q7,Q8,Q1,Q2"
calendar_2021,chhv1,5,visit,Visit,,,2,13,14,
calendar_2021,chhv1,6,sec,Sector,1,3,1,15,15,
calendar_2021,chhv1,7,st,State/Ut Code,,1,2,16,17,
calendar_2021,chhv1,8,dc,District Code,1,4,2,18,19,
calendar_2021,chhv1,9,nss_reg,NSS-Region,1,4,3,20,22,
calendar_2021,chhv1,10,strm,Stratum,1,5,2,23,24,
calendar_2021,chhv1,11,sstrm,Sub-Stratum,1,6,2,25,26,
calendar_2021,chhv1,12,ss,Sub-Sample,1,11,1,27,27,
calendar_2021,chhv1,13,sro,Fod Sub-Region,1,12,4,28,31,
calendar_2021,chhv1,14,mfsu,FSU,1,1,5,32,36,
calendar_2021,chhv1,15,seg,Sample Hg/Sb No.,1,13,1,37,37,
calendar_2021,chhv1,16,sss,Second Stage Stratum No.,1,14,1,38,38,
calendar_2021,chhv1,17,ssu,Sample Household Number,1,15,2,39,40,
calendar_2021,chhv1,18,smonth,Month of Survey,1,9,2,41,42,
calendar_2021,chhv1,19,resp_code,Response Code,1,17,1,43,43,
calendar_2021,chhv1,20,svc,Survey Code,1,18,1,44,44,
calendar_2021,chhv1,21,rsr,Reason for Substitution of original household,1,19,1,45,45,
calendar_2021,chhv1,22,hh_size,Household Size,3,1,2,46,47,
calendar_2021,chhv1,23,hh_type,Household Type,3,2,1,48,48,
calendar_2021,chhv1,24,religion,Religion,3,3,1,49,49,
calendar_2021,chhv1,25,social_grp,Social Group,3,4,1,50,50,
calendar_2021,chhv1,26,hce1,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,8,51,58,
calendar_2021,chhv1,27,hce2,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,8,59,66,
calendar_2021,chhv1,28,hce3,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,8,67,74,
calendar_2021,chhv1,29,hce4,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,8,75,82,
calendar_2021,chhv1,30,hce5,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,8,83,90,
calendar_2021,chhv1,31,hce_tot,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,8,91,98,
calendar_2021,chhv1,32,inf_srl,Informant Serial no.,1,16,2,99,100,
calendar_2021,chhv1,33,sur_date,Survey Date,2,2(i),8,101,108,
calendar_2021,chhv1,34,sur_time,Total Time Taken To Canvass Sch. 10.4,2,4,4,109,112,
calendar_2021,chhv1,35,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,113,115,NSS
calendar_2021,chhv1,36,nsc,Ns count for sector x stratum x substratum,Generated,,3,116,118,NSC
calendar_2021,chhv1,37,mult,Sub-sample wise Multiplier,Generated,,10,119,128,MULT
calendar_2021,cperv1,1,panel,Panel,,,2,1,2,"P2,P3"
calendar_2021,cperv1,2,file_id,File Identification,,,5,3,7,CFVP1
calendar_2021,cperv1,3,sch,Schdule,1,2,3,8,10,104
calendar_2021,cperv1,4,qtr,Quarter,,,2,11,12,"Q7,Q8,Q1,Q2"
calendar_2021,cperv1,5,visit,Visit,,,2,13,14,
calendar_2021,cperv1,6,sec,Sector,1,3,1,15,15,
calendar_2021,cperv1,7,st,State/Ut Code,,,2,16,17,
calendar_2021,cperv1,8,dc,District Code,1,4,2,18,19,
calendar_2021,cperv1,9,nss_reg,NSS-Region,1,4,3,20,22,
calendar_2021,cperv1,10,strm,Stratum,1,5,2,23,24,
calendar_2021,cperv1,11,sstrm,Sub-Stratum,1,6,2,25,26,
calendar_2021,cperv1,12,ss,Sub-Sample,1,11,1,27,27,
calendar_2021,cperv1,13,sro,Fod Sub-Region,1,12,4,28,31,
calendar_2021,cperv1,14,mfsu,FSU,1,1,5,32,36,
calendar_2021,cperv1,15,seg,Sample Hg/Sb No.,1,13,1,37,37,
calendar_2021,cperv1,16,sss,Second Stage Stratum No.,1,14,1,38,38,
calendar_2021,cperv1,17,ssu,Sample Household Number,1,15,2,39,40,
calendar_2021,cperv1,18,srl_no,Person Serial No.,4,1,2,41,42,
calendar_2021,cperv1,19,sex,Sex,4,5,1,43,43,
calendar_2021,cperv1,20,age,Age,4,6,3,44,46,
calendar_2021,cperv1,21,gedu_lvl,General Educaion Level,4,8,2,47,48,
calendar_2021,cperv1,22,aps_cws,Current Weekly Status (CWS),6,5,2,49,50,
calendar_2021,cperv1,23,aind_cws,Industry Code (CWS),6,6,2,51,52,
calendar_2021,cperv1,24,ocu_cws,Occupation Code (CWS),6,7,3,53,55,
calendar_2021,cperv1,25,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,56,58,NSS
calendar_2021,cperv1,26,nsc,Ns count for sector x stratum x substratum,Generated,,3,59,61,NSC
calendar_2021,cperv1,27,mult,Sub-sample wise Multiplier,Generated,,10,62,71,MULT
