state_code,state_name,district_code,district_name
01,JAMMU & KASHMIR,01,Kupwara
01,JAMMU & KASHMIR,02,Badgam
01,JAMMU & KASHMIR,05,Punch
01,JAMMU & KASHMIR,06,Rajouri
01,JAMMU & KASHMIR,07,Kathua
01,JAMMU & KASHMIR,08,Baramula
01,JAMMU & KASHMIR,09,Bandipore
01,JAMMU & KASHMIR,10,Srinagar
01,JAMMU & KASHMIR,11,Ganderbal
01,JAMMU & KASHMIR,12,Pulwama
01,JAMMU & KASHMIR,13,Shupiyan
01,JAMMU & KASHMIR,14,Anantnag
01,JAMMU & KASHMIR,15,Kulgam
01,JAMMU & KASHMIR,16,Doda
01,JAMMU & KASHMIR,17,Ramban
01,JAMMU & KASHMIR,18,Kishtwar
01,JAMMU & KASHMIR,19,Udhampur
01,JAMMU & KASHMIR,20,Reasi
01,JAMMU & KASHMIR,21,Jammu
01,JAMMU & KASHMIR,22,Samba
02,HIMACHAL PRADESH,01,Chamba
02,HIMACHAL PRADESH,02,Kangra
02,HIMACHAL PRADESH,03,Lahul & Spiti
02,HIMACHAL PRADESH,04,Kullu
02,HIMACHAL PRADESH,05,Mandi
02,HIMACHAL PRADESH,06,Hamirpur
02,HIMACHAL PRADESH,07,Una
02,HIMACHAL PRADESH,08,Bilaspur
02,HIMACHAL PRADESH,09,Solan
02,HIMACHAL PRADESH,10,Sirmaur
02,HIMACHAL PRADESH,11,Shimla
02,HIMACHAL PRADESH,12,Kinnaur
03,PUNJAB,01,Gurdaspur
03,PUNJAB,02,Kapurthala
03,PUNJAB,03,Jalandhar
03,PUNJAB,04,Hoshiarpur
03,PUNJAB,05,Shahid Bhagat Singh Nagar
03,PUNJAB,06,Fatehgarh Sahib
03,PUNJAB,07,Ludhiana
03,PUNJAB,08,Moga
03,PUNJAB,09,Firozpur
03,PUNJAB,10,Muktsar
03,PUNJAB,11,Faridkot
03,PUNJAB,12,Bathinda
03,PUNJAB,13,Mansa
03,PUNJAB,14,Patiala
03,PUNJAB,15,Amritsar
03,PUNJAB,16,Tarn Taran
03,PUNJAB,17,Rupnagar
03,PUNJAB,18,Sahibzada Ajit Singh Nagar
