code,description
1111,Legislators
1112,Senior Government Officials
1113,Traditional Chiefs and Heads of Villages
1114,Senior Officials of Special Interest Organizations
1120,Managing Directors and Chief Executives
1211,Finance Managers
1212,Human Resource Managers
1213,Policy and Planning Managers
1219,Business Services and Administration Managers
1221,Sales and Marketing Managers
1222,Advertising and Public Relation Managers
1223,Research and Development Managers
1311,Agricultural and Forestry Production Managers
1312,Aquaculture and Fisheries Production Managers
1321,Manufacturing Managers
1322,Mining Managers
1323,Construction Managers
1324,"Supply, Distribution and Related Managers"
1330,Information and Communication Technology
1341,Child Care Service Managers
1342,Health Services Managers
1343,Aged Care Services Managers
1344,Social Welfare Managers
1345,Education Managers
1346,Financial and Insurance Service Branch
1349,Professional Services Managers Not Elsewhere
1411,Hotel Managers
1412,Restaurant Managers
1420,Retail and Wholesale Trade Managers
1431,"Sports, Recreation and Cultural Centre"
1439,Services Manager Not Elsewhere Classified
2111,Physicists and Astronomers
2112,Meteorologists
2113,Chemists
2114,Geologists and Geophysicists
2120,"Mathematicians, Actuaries and Statisticians"
2131,"Biologists, Botanists, Zoologists and Related"
2132,"Farming, Forestry and Fisheries Advisors"
2133,Environmental Protection Professionals
2141,Industrial and Production Engineers
2142,Civil Engineers
2143,Environmental Engineers
2144,Mechanical Engineers
2145,Chemical Engineers
2146,"Mining Engineers, Metallurgists and Related"
2149,Engineering Professionals Not Elsewhere
2151,Electrical Engineers
2152,Electronics Engineers
2153,Telecommunication Engineers
2161,Building Architects
2162,Landscape Architects
2163,Product and Garment Designers
2164,Town and Traffic Planners
2165,Cartographers and Surveyors
2166,Graphic and Multimedia Designers
2211,Generalist Medical Practitioners
2212,Specialist Medical Practitioners
2221,Nursing Professionals
2222,Midwifery Professionals
2230,Traditional and Complementary Medicine
2240,Paramedical Practitioners
2250,Veterinarians
2261,Dentists
2262,Pharmacists
2263,Environmental and Occupational Health and
2264,Physiotherapists
2265,Dieticians and Nutritionists
2266,Audiologists and Speech Therapists
2267,Optometrists and Ophthalmic Opticians
2269,Health Professionals Not Elsewhere Classified
2310,University and Higher Education Teachers
2320,Vocational Education Teachers
2330,Secondary Education Teachers
2341,Primary School Teachers
2342,Early Childhood Educators
2351,Education Method Specialists
2353,Other Language Professionals
2354,Other Music Teachers
2355,Other Arts Teachers
2356,Information Technology Trainers
2359,Teaching Professionals Not Elsewhere Classified
2411,Accountants
2412,Financial and Investment Advisors
2413,Financial Analysts
2421,Management and Organization Analysts
2422,Policy Administration Professionals
2423,Personal and Careers Professionals
2424,Training and Staff Development Professionals
2431,Advertising and Marketing Professionals
2432,Public Relations Professionals
2433,Technical and Medical Sales Professional
2434,Information and Communications Technology
2511,System Analysts
2512,Software Developers
2513,Web and Multimedia Developers
2514,Applications Programmers
2519,Software and Application Developers and
2521,Database designers and Administrators
2522,Systems Administrators
2523,Computer Network Professionals
2529,Database and Network Professionals Not
2611,Lawyers
2612,Judges
2619,"Legal Professionals, Not Elsewhere Classified"
2621,Archivists and Curators
2622,Librarians and Related Information
2631,Economists
2632,"Sociologists, Anthropologists and Related"
2633,"Philosophers, Historians and Political Scientists"
2634,Psychologists
2635,Social Work and Counselling Professionals
2636,Religious Professionals
2641,Authors and Related Writers
2642,Journalists
2643,"Translators, Interpreters and Other Linguists"
2651,Visual Artists
2652,"Musicians, Singers and Composers"
2653,Dancers and Choreographers
